B1,B2,B3,C1,C2,S1,S2,S3,S4,S5
0.008809424314443027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023038181984853167,0.024945074116584563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005588251982696568,0.0005080384430546457,0.008639838277144577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005345770938725162,-0.00018946376757253218,-0.00028609320645162854,0.006151285652507278,0.0,0.0,0.0,0.0,0.0,0.0
0.0009529234589850721,0.0006425949416058032,0.000407569576657639,0.002102611621444473,0.007372514305295673,0.0,0.0,0.0,0.0,0.0
0.0005199072758768846,-0.0008011554711756134,-0.0015637069615530973,0.0017343638881705428,0.0002249802403214084,0.011925055711184065,0.0,0.0,0.0,0.0
-0.000414470252590989,-0.0011455524533934935,-0.004481051217047877,0.0033803242122050917,-3.942606332717752e-05,0.020367859686386915,0.014832286903910308,0.0,0.0,0.0
0.00024663982086952556,-0.001782895903843677,-0.0017551972449256735,0.004067977140729646,0.0005302491821295507,0.005000173081765063,-0.0009017280199173129,0.013891493245224608,0.0,0.0
-0.0005639718920870562,-0.0026706129382551846,-0.0005057859551547896,0.0005905463776061003,-0.001328338797483897,0.0012590400573338771,-0.00046318261181039393,0.0031005722643696353,0.014729646036255565,0.0
0.0010788740031152338,0.0007952206132236143,0.005209087142116591,-0.0009656641510188355,-0.0008412189303572127,-0.0025966965381804684,-0.0004734922830813892,-0.0017815931178982766,-0.0009715507274035928,0.03756450506909074
